year,state,special,candidate,party,writein,candidatevotes,totalvotes
1976,Arizona,FALSE,Sam Steiger,republican,FALSE,321236,741210
1976,Arizona,FALSE,Wm. Mathews Feighan,independent,FALSE,1565,741210
1976,Arizona,FALSE,Dennis DeConcini,democrat,FALSE,400334,741210
1976,Arizona,FALSE,Allan Norwitz,libertarian,FALSE,7310,741210
1976,Arizona,FALSE,Bob Field,independent,FALSE,10765,741210
1976,California,FALSE,Jack McCoy,american independent,FALSE,82739,7470586
1976,California,FALSE,S. I. (Sam) Hayakawa,republican,FALSE,3748973,7470586
1976,California,FALSE,John V. Tunney,democrat,FALSE,3502862,7470586
1976,California,FALSE,Omari Musa,independent,FALSE,31629,7470586
1976,California,FALSE,David Wald,peace and freedom,FALSE,104383,7470586
1976,Connecticut,FALSE,"Lowell P. Weicker, Jr.",republican,FALSE,785683,1361666
1976,Connecticut,FALSE,scatter,,FALSE,558,1361666
1976,Connecticut,FALSE,Robert Barnabei,american independent,FALSE,14407,1361666
1976,Connecticut,FALSE,Gloria Schaffer,democrat,FALSE,561018,1361666
1976,Delaware,FALSE,Thomas C. Maloney,democrat,FALSE,98042,224795
1976,Delaware,FALSE,"William V. Roth, Jr.",republican,FALSE,125454,224795
1976,Delaware,FALSE,Donald G. Gies,american,FALSE,646,224795
1976,Delaware,FALSE,John A. Massimilla,prohibition,FALSE,216,224795
1976,Delaware,FALSE,Joseph F. McInerney,none,FALSE,437,224795
1976,Florida,FALSE,Lawton Chiles,democrat,FALSE,1799518,2857534
1976,Florida,FALSE,scatter,,FALSE,130,2857534
1976,Florida,FALSE,John Grady,republican,FALSE,1057886,2857534
1976,Hawaii,FALSE,Spark M. Matsunaga,democrat,FALSE,162305,302092
1976,Hawaii,FALSE,James D. Kimmel,independent,FALSE,1433,302092
1976,Hawaii,FALSE,William Quinn,republican,FALSE,122724,302092
1976,Hawaii,FALSE,Anthony N. Hodges,prohibition,FALSE,14226,302092
1976,Hawaii,FALSE,Rockne Johnson,libertarian,FALSE,1404,302092
1976,Indiana,FALSE,Richard G. Lugar,republican,FALSE,1275833,2161187
1976,Indiana,FALSE,Vance Hartke,democrat,FALSE,868522,2161187
1976,Indiana,FALSE,Don L. Lee,independent,FALSE,14321,2161187
1976,Indiana,FALSE,David Lee Hoagland,u.s. labor,FALSE,2511,2161187
1976,Maine,FALSE,Robert A. G. Monks,republican,FALSE,193489,486193
1976,Maine,FALSE,Edmund S. Muskie,democrat,FALSE,292704,486193
1976,Maryland,FALSE,"J. Glenn Beall, Jr.",republican,FALSE,530439,1365290
1976,Maryland,FALSE,Paul S. Sarbanes,democrat,FALSE,772101,1365290
1976,Maryland,FALSE,Bruce Bradley,independent,FALSE,62750,1365290
1976,Massachusetts,FALSE,Carol Henderson Evans,socialist workers,FALSE,26283,2491255
1976,Massachusetts,FALSE,scatter,,FALSE,157,2491255
1976,Massachusetts,FALSE,Michael S. Robertson,republican,FALSE,722641,2491255
1976,Massachusetts,FALSE,H. Graham Lowry,u.s. labor,FALSE,15517,2491255
1976,Massachusetts,FALSE,Edward M. Kennedy,democrat,FALSE,1726657,2491255
1976,Michigan,FALSE,Bette Jane Erwin,libertarian,FALSE,8842,3490412
1976,Michigan,FALSE,Theodore G. Albert,human rights,FALSE,7281,3490412
1976,Michigan,FALSE,Marvin L. Esch,republican,FALSE,1635087,3490412
1976,Michigan,FALSE,"Donald W. Riegle, Jr.",democrat,FALSE,1831031,3490412
1976,Michigan,FALSE,Frank Girard,socialist labor,FALSE,2554,3490412
1976,Michigan,FALSE,Paula L. Reimers,socialist workers,FALSE,3399,3490412
1976,Michigan,FALSE,Peter A. Signorelli,u.s. labor,FALSE,2218,3490412
1976,Minnesota,FALSE,Robin E. Miller,libertarian,FALSE,5476,1912020
1976,Minnesota,FALSE,Bill Peterson,socialist workers,FALSE,9380,1912020
1976,Minnesota,FALSE,Matt Savola,communist,FALSE,2214,1912020
1976,Minnesota,FALSE,Jerry Brekke,republican,FALSE,478602,1912020
1976,Minnesota,FALSE,Paul Helm,american,FALSE,125612,1912020
1976,Minnesota,FALSE,Hubert H. Humphrey,democrat,FALSE,1290736,1912020
1976,Mississippi,FALSE,John C. Stennis,democrat,FALSE,554433,554433
1976,Missouri,FALSE,John C. Danforth,republican,FALSE,1090067,1914460
1976,Missouri,FALSE,Warren E. Hearnes,democrat,FALSE,813571,1914460
1976,Missouri,FALSE,Lawrene (Red) Petty,independent,FALSE,10822,1914460
1976,Montana,FALSE,Stanley C. Burger,republican,FALSE,115213,321445
1976,Montana,FALSE,John Melcher,democrat,FALSE,206232,321445
1976,Nebraska,FALSE,NA,NA,TRUE,58,593310
1976,Nebraska,FALSE,scatter,,FALSE,163,593310
1976,Nebraska,FALSE,John Y. McCollister,republican,FALSE,279284,593310
1976,Nebraska,FALSE,Edward Zorinsky,democrat,FALSE,313805,593310
1976,Nevada,FALSE,Byron D. Young,independent american,FALSE,3619,201899
1976,Nevada,FALSE,David Towell,republican,FALSE,63471,201899
1976,Nevada,FALSE,Other,,FALSE,5288,201899
1976,Nevada,FALSE,Dan Becan,libertarian,FALSE,2307,201899
1976,Nevada,FALSE,Howard W. Cannon,democrat,FALSE,127214,201899
1976,New Jersey,FALSE,Leif Johnson,labor,FALSE,6650,2771390
1976,New Jersey,FALSE,Hannibal Cundari,libertarian,FALSE,19907,2771390
1976,New Jersey,FALSE,"Harrison A. Williams, Jr.",democrat,FALSE,1681140,2771390
1976,New Jersey,FALSE,Bernardo S. Doganiero,socialist labor,FALSE,9185,2771390
1976,New Jersey,FALSE,David F. Norcross,republican,FALSE,1054508,2771390
1976,New Mexico,FALSE,Ernesto B. Borunda,la raza unida,FALSE,1087,413056
1976,New Mexico,FALSE,Joseph M. Montoya,democrat,FALSE,176382,413056
1976,New Mexico,FALSE,"Malcolm ""Matt"" Dillon",american,FALSE,906,413056
1976,New Mexico,FALSE,"Harrison ""Jack"" Schmitt",republican,FALSE,234681,413056
1976,New York,FALSE,Marcia Gallo,socialist workers,FALSE,16350,6666875
1976,New York,FALSE,Daniel Patrick Moynihan,liberal,FALSE,184083,6666875
1976,New York,FALSE,James L. Buckley,conservative,FALSE,311494,6666875
1976,New York,FALSE,Elijah C. Boyd,labor,FALSE,6716,6666875
1976,New York,FALSE,Herbert Aptheker,communist,FALSE,25141,6666875
1976,New York,FALSE,Martin E. Nixon,libertarian,FALSE,10943,6666875
1976,New York,FALSE,Other,,FALSE,348498,6666875
1976,New York,FALSE,James L. Buckley,republican,FALSE,2525139,6666875
1976,New York,FALSE,Daniel Patrick Moynihan,democrat,FALSE,3238511,6666875
1976,North Dakota,FALSE,Robert Stroup,republican,FALSE,103466,283062
1976,North Dakota,FALSE,Quentin N. Burdick,democrat,FALSE,175772,283062
1976,North Dakota,FALSE,Clarence Haggard,american,FALSE,3824,283062
1976,Ohio,FALSE,Emma Lila Fundaburk,independent,FALSE,33285,3920613
1976,Ohio,FALSE,Howard M. Metzenbaum,democrat,FALSE,1941113,3920613
1976,Ohio,FALSE,"Robert Taft, Jr.",republican,FALSE,1823774,3920613
1976,Ohio,FALSE,Melisa Singler,socialist workers,FALSE,31805,3920613
1976,Ohio,FALSE,Donald E. Babcock,american,FALSE,36979,3920613
1976,Ohio,FALSE,John O'Neill,independent,FALSE,53657,3920613
1976,Pennsylvania,FALSE,H. John Heinz III,republican,FALSE,2381891,4546353
1976,Pennsylvania,FALSE,Frederick W. Stanton,socialist workers,FALSE,5484,4546353
1976,Pennsylvania,FALSE,Bernard Salera,labor,FALSE,3637,4546353
1976,Pennsylvania,FALSE,Frank Kinces,communist,FALSE,2097,4546353
1976,Pennsylvania,FALSE,Andrew J. Watson,constitution,FALSE,26028,4546353
1976,Pennsylvania,FALSE,William J. Green,democrat,FALSE,2126977,4546353
1976,Pennsylvania,FALSE,Other,,FALSE,239,4546353
1976,Rhode Island,FALSE,Richard P. Lorber,democrat,FALSE,167665,398906
1976,Rhode Island,FALSE,John H. Chafee,republican,FALSE,230329,398906
1976,Rhode Island,FALSE,Margaret R. Cann,communist,FALSE,912,398906
1976,Tennessee,FALSE,Mark Clark Bates,independent,FALSE,5137,1432046
1976,Tennessee,FALSE,Willie C. Jacox,independent,FALSE,1406,1432046
1976,Tennessee,FALSE,NA,NA,TRUE,31,1432046
1976,Tennessee,FALSE,James R. Sasser,democrat,FALSE,751180,1432046
1976,Tennessee,FALSE,Arnold Joseph Zandie,independent,FALSE,1061,1432046
1976,Tennessee,FALSE,Bill Brock,republican,FALSE,673231,1432046
1976,Texas,FALSE,Pedro Vasquez,socialist workers,FALSE,20549,3874230
1976,Texas,FALSE,Marjorie P. Gallion,american,FALSE,17355,3874230
1976,Texas,FALSE,Alan Steelman,republican,FALSE,1636370,3874230
1976,Texas,FALSE,Lloyd Bentsen,democrat,FALSE,2199956,3874230
1976,Utah,FALSE,Steve Trotter,libertarian,FALSE,3026,522108
1976,Utah,FALSE,George Merl Batchelor,american,FALSE,4913,522108
1976,Utah,FALSE,Orrin G. Hatch,republican,FALSE,290221,522108
1976,Utah,FALSE,Frank E. Moss,democrat,FALSE,223948,522108
1976,Vermont,FALSE,Robert T. Stafford,republican,FALSE,94481,189060
1976,Vermont,FALSE,scatter,,FALSE,96,189060
1976,Vermont,FALSE,Thomas P. Salmon,democrat,FALSE,85682,189060
1976,Vermont,FALSE,Nancy Kaufman,liberty union,FALSE,8801,189060
1976,Virginia,FALSE,NA,NA,TRUE,154,1557500
1976,Virginia,FALSE,Martin H. Perper,independent,FALSE,70559,1557500
1976,Virginia,FALSE,E. R. (Bud) Zumwalt,democrat,FALSE,596009,1557500
1976,Virginia,FALSE,"Harry F. Byrd, Jr.",independent,FALSE,890778,1557500
1976,Washington,FALSE,"William F. Wertz, Jr.",labor,FALSE,3389,1491111
1976,Washington,FALSE,Dave Smith,independent,FALSE,28182,1491111
1976,Washington,FALSE,Karl Bermann,socialist workers,FALSE,7402,1491111
1976,Washington,FALSE,Henry M. Jackson,democrat,FALSE,1071219,1491111
1976,Washington,FALSE,Richard K. Kenney,libertarian,FALSE,19373,1491111
1976,Washington,FALSE,George M. Brown,republican,FALSE,361546,1491111
1976,West Virginia,FALSE,Robert C. Byrd,democrat,FALSE,566359,566359
1976,Wisconsin,FALSE,Michael A. MacLaurin,u.s. labor,FALSE,2148,1935183
1976,Wisconsin,FALSE,William O. Hart,democratic socialist,FALSE,7354,1935183
1976,Wisconsin,FALSE,Robert E. Nordlander,socialist labor,FALSE,1731,1935183
1976,Wisconsin,FALSE,William Proxmire,democrat,FALSE,1396970,1935183
1976,Wisconsin,FALSE,Robert Schwarz,socialist workers,FALSE,4876,1935183
1976,Wisconsin,FALSE,scatter,,FALSE,202,1935183
1976,Wisconsin,FALSE,Stanley York,republican,FALSE,521902,1935183
1976,Wyoming,FALSE,Gale McGee,democrat,FALSE,70558,155368
1976,Wyoming,FALSE,Malcolm Wallop,republican,FALSE,84810,155368
1978,Alabama,FALSE,Jerome B. Couch,prohibition,FALSE,34951,582005
1978,Alabama,TRUE,James D. Martin,republican,FALSE,316170,729842
1978,Alabama,TRUE,Michael R. A. Erdey,libertarian,FALSE,6006,729842
1978,Alabama,TRUE,Donald Stewart,democrat,FALSE,401852,729842
1978,Alabama,FALSE,Howell Heflin,democrat,FALSE,547054,582005
1978,Alabama,TRUE,A. J. Killinsworth,prohibition,FALSE,5814,729842
1978,Alaska,FALSE,Donald Hobbs,democrat,FALSE,29574,122741
1978,Alaska,FALSE,NA,NA,TRUE,384,122741
1978,Alaska,FALSE,Ted Stevens,republican,FALSE,92783,122741
1978,Arkansas,FALSE,John Graham Black,independent,FALSE,37211,517138
1978,Arkansas,FALSE,NA,NA,TRUE,113,517138
1978,Arkansas,FALSE,David Pryor,democrat,FALSE,395506,517138
1978,Arkansas,FALSE,Tom Kelly,republican,FALSE,84308,517138
1978,Colorado,FALSE,John Shue ,national statesman,FALSE,2518,819256
1978,Colorado,FALSE,Vedder V. Dron,united states party,FALSE,5789,819256
1978,Colorado,FALSE,Floyd K. Haskell,democrat,FALSE,330148,819256
1978,Colorado,FALSE,William L. Armstrong,republican,FALSE,480801,819256
1978,Delaware,FALSE,Joseph R. Biden Jr.,democrat,FALSE,93930,162072
1978,Delaware,FALSE,Donald G. Gies,american,FALSE,1663,162072
1978,Delaware,FALSE,James H. Baxter Jr.,republican,FALSE,66479,162072
1978,Georgia,FALSE,John W. Stokes,republican,FALSE,108808,645128
1978,Georgia,FALSE,Sam Nunn,democrat,FALSE,536320,645128
1978,Idaho,FALSE,Dwight Jensen,democrat,FALSE,89635,284047
1978,Idaho,FALSE,James A. McClure,republican,FALSE,194412,284047
1978,Illinois,FALSE,Patricia Grogan,socialist workers,FALSE,15922,3184764
1978,Illinois,FALSE,Alex Smith,democrat,FALSE,1448187,3184764
1978,Illinois,FALSE,Bruce Lee Green,libertarian,FALSE,16320,3184764
1978,Illinois,FALSE,NA,NA,TRUE,159,3184764
1978,Illinois,FALSE,Charles H. Perey,republican,FALSE,1698711,3184764
1978,Illinois,FALSE,Gerald Rose,socialist labor,FALSE,5465,3184764
1978,Iowa,FALSE,Roger W. Jepsen,republican,FALSE,421598,824576
1978,Iowa,FALSE,Ben L. Olson,libertarian,FALSE,3689,824576
1978,Iowa,FALSE,Dick Clark,democrat,FALSE,395066,824576
1978,Iowa,FALSE,Gerald Leo Baker,independent,FALSE,4223,824576
1978,Kansas,FALSE,Nancy Landon Kassebaum,republican,FALSE,403354,748839
1978,Kansas,FALSE,James R. Maher,conservative,FALSE,22497,748839
1978,Kansas,FALSE,Russell Mikels,prohibition,FALSE,5386,748839
1978,Kansas,FALSE,Bill Roy,democrat,FALSE,317602,748839
1978,Kentucky,FALSE,NA,NA,TRUE,43,476783
1978,Kentucky,FALSE,Walter D. Huddleston,democrat,FALSE,290730,476783
1978,Kentucky,FALSE,Louie Guenthner Jr. ,republican,FALSE,175766,476783
1978,Kentucky,FALSE,Anthony Albert McCord,american,FALSE,10244,476783
1978,Louisiana,FALSE,J. Bennett Johnston Jr. ,democrat,FALSE,1,1
1978,Maine,FALSE,William D. Hathaway,democrat,FALSE,127327,375114
1978,Maine,FALSE,John J. Jannace,independent,FALSE,5553,375114
1978,Maine,FALSE,William S. Cohen,republican,FALSE,212294,375114
1978,Maine,FALSE,Hayes E. Gahagan,independent,FALSE,27824,375114
1978,Maine,FALSE,Plato Truman,independent,FALSE,2116,375114
1978,Massachusetts,FALSE,Other,,FALSE,1833,1985700
1978,Massachusetts,FALSE,Paul E. Tsongas,democrat,FALSE,1093283,1985700
1978,Massachusetts,FALSE,Edward W. Brooke,republican,FALSE,890584,1985700
1978,Michigan,FALSE,Carl Levin,democrat,FALSE,1484193,2846630
1978,Michigan,FALSE,Robert P. Griffin,republican,FALSE,1362165,2846630
1978,Michigan,FALSE,scatter,,FALSE,272,2846630
1978,Minnesota,TRUE,Bob Short,democrat,FALSE,538675,1558376
1978,Minnesota,TRUE,Paul Helm,american,FALSE,45402,1558376
1978,Minnesota,FALSE,Brian John Coyle,public interest independent,FALSE,8083,1580622
1978,Minnesota,TRUE,David Durenberger,republican,FALSE,957908,1558376
